n_components,distance_threshold,linkage,min_stories_per_motif,silhouette_score,num_all_clusters,num_motif_clusters,compression_ratio,num_stories_without_motif,motif_cluster_entropy,between_motif_distance,thompson_recall,atu_prediction_accuracy
150,0.55,average,2,0.031328197568655014,5782,4374,13.010973936899862,2,0.3875986,0.794283,0.8113975155279503,0.30434782608695654
150,0.55,average,3,0.031328197568655014,5782,3052,18.646788990825687,5,0.3875986,0.7687227,0.7966149068322981,0.26854219948849106
150,0.6,complete,2,0.060077011585235596,9805,8097,7.028529084846239,2,0.35270354,0.78516334,0.8643478260869565,0.3273657289002558
150,0.6,complete,3,0.060077011585235596,9805,5863,9.706634828586049,8,0.35270354,0.764215,0.854807453416149,0.30434782608695654
150,0.6,average,2,0.01845869980752468,3340,2794,20.368647100930566,2,0.4515517,0.78624797,0.8664658385093166,0.2659846547314578
150,0.6,average,3,0.01845869980752468,3340,2201,25.856428895956384,2,0.4515517,0.7654502,0.8638012422360248,0.2506393861892583
150,0.65,complete,2,0.04832989722490311,7494,6596,8.627956337174044,1,0.39892754,0.7770405,0.9384534161490684,0.3273657289002558
150,0.65,complete,3,0.04832989722490311,7494,5318,10.701391500564123,6,0.39892754,0.7599106,0.9270062111801242,0.3145780051150895
150,0.65,average,2,0.00416431063786149,1825,1621,35.107958050586056,2,0.5140721,0.77703667,0.91472049689441,0.23017902813299232
150,0.65,average,3,0.00416431063786149,1825,1377,41.328976034858385,2,0.5140721,0.7580112,0.91472049689441,0.22762148337595908
150,0.7,complete,2,0.03747158870100975,5683,5218,10.906477577615945,1,0.44595277,0.76643646,0.9734534161490683,0.329923273657289
150,0.7,complete,3,0.03747158870100975,5683,4552,12.50219683655536,4,0.44595277,0.7539093,0.9694596273291926,0.3069053708439898
150,0.7,average,2,-0.004278083331882954,900,835,68.1556886227545,0,0.58526665,0.75831187,0.9745465838509316,0.1867007672634271
150,0.7,average,3,-0.004278083331882954,900,757,75.17833553500661,1,0.58526665,0.74269325,0.9745465838509316,0.18925831202046037
200,0.55,complete,2,0.07855770736932755,13961,9739,5.843515761371804,6,0.30265477,0.8021976,0.7682049689440994,0.34271099744245526
200,0.55,complete,3,0.07855770736932755,13961,5601,10.160685591858597,18,0.30265477,0.77476287,0.722105590062112,0.3171355498721228
200,0.55,average,2,0.04154813662171364,7037,4841,11.755835571162983,3,0.37920177,0.80436337,0.774944099378882,0.31202046035805625
200,0.55,average,3,0.04154813662171364,7037,3156,18.03231939163498,12,0.37920177,0.77777183,0.7515341614906832,0.2864450127877238
200,0.6,complete,2,0.06674131006002426,10921,8521,6.678793568829949,4,0.34558672,0.7976737,0.8340683229813665,0.329923273657289
200,0.6,complete,3,0.06674131006002426,10921,5695,9.99297629499561,12,0.34558672,0.77396715,0.8058695652173913,0.32225063938618925
200,0.6,average,2,0.028730645775794983,4168,3248,17.521551724137932,2,0.44098923,0.7981202,0.8205900621118013,0.289002557544757
200,0.6,average,3,0.028730645775794983,4168,2426,23.458367683429515,8,0.44098923,0.7744155,0.7963478260869564,0.26342710997442453
200,0.65,complete,2,0.053815808147192,8298,6984,8.148625429553265,4,0.39422175,0.78958195,0.9238695652173913,0.3631713554987212
200,0.65,complete,3,0.053815808147192,8298,5302,10.733685401735194,7,0.39422175,0.77065635,0.9086521739130435,0.3350383631713555
200,0.65,average,2,0.01822558045387268,2327,1961,29.020907700152982,2,0.50687695,0.78599304,0.873031055900621,0.25831202046035806
200,0.65,average,3,0.01822558045387268,2327,1592,35.74748743718593,3,0.50687695,0.76620907,0.8668198757763975,0.24296675191815856
200,0.7,complete,2,0.04268070310354233,6248,5549,10.255901964317895,2,0.4441365,0.77911687,0.9568757763975156,0.3350383631713555
200,0.7,complete,3,0.04268070310354233,6248,4637,12.273021350010783,5,0.4441365,0.7655647,0.9564596273291927,0.3248081841432225
200,0.7,average,2,0.007324689533561468,1184,1065,53.436619718309856,0,0.57883275,0.76729244,0.9411863354037268,0.2020460358056266
200,0.7,average,3,0.007324689533561468,1184,927,61.3915857605178,2,0.57883275,0.751532,0.9411863354037268,0.19437340153452684
250,0.55,complete,2,0.08075398206710815,14771,9795,5.810107197549771,5,0.29993802,0.808081,0.7459937888198758,0.35294117647058826
250,0.55,complete,3,0.08075398206710815,14771,5398,10.54279362726936,28,0.29993802,0.7786147,0.691024844720497,0.3171355498721228
250,0.55,average,2,0.04800989106297493,7850,5140,11.071984435797665,4,0.3751341,0.8098744,0.7384658385093168,0.3350383631713555
250,0.55,average,3,0.04800989106297493,7850,3208,17.74002493765586,14,0.3751341,0.7809073,0.7174037267080746,0.2966751918158568
250,0.6,complete,2,0.06931068003177643,11528,8620,6.602088167053364,3,0.34317943,0.8037887,0.8103167701863355,0.35038363171355497
250,0.6,complete,3,0.06931068003177643,11528,5614,10.13715710723192,15,0.34317943,0.7786451,0.7772546583850932,0.3248081841432225
250,0.6,average,2,0.03373692184686661,4744,3529,16.126381411164637,2,0.4335231,0.80538225,0.8183726708074534,0.289002557544757
250,0.6,average,3,0.03373692184686661,4744,2489,22.86460425873845,8,0.4335231,0.7802496,0.7994968944099379,0.2531969309462916
250,0.65,complete,2,0.057167429476976395,8840,7197,7.9074614422676115,1,0.39062142,0.7968319,0.8921987577639752,0.3248081841432225
250,0.65,complete,3,0.057167429476976395,8840,5334,10.669291338582678,9,0.39062142,0.77645266,0.8732857142857142,0.33248081841432225
250,0.65,average,2,0.02330007217824459,2699,2193,25.95075239398085,2,0.5003918,0.7924393,0.8670062111801242,0.2608695652173913
250,0.65,average,3,0.02330007217824459,2699,1718,33.12572759022119,3,0.5003918,0.7715645,0.8664906832298136,0.2557544757033248
250,0.7,complete,2,0.045245155692100525,6638,5733,9.926739926739927,1,0.44097498,0.7873142,0.9476521739130435,0.35038363171355497
250,0.7,complete,3,0.045245155692100525,6638,4677,12.168056446440026,4,0.44097498,0.7709905,0.9423540372670807,0.3350383631713555
250,0.7,average,2,0.011550410650670528,1427,1250,45.528,2,0.5706014,0.7780114,0.9150434782608696,0.22506393861892582
250,0.7,average,3,0.011550410650670528,1427,1070,53.18691588785047,2,0.5706014,0.76106536,0.9138012422360249,0.22250639386189258
