ATU Classification Type,AT Classification Type,Thompson Motif
ATU 65 The She-Fox's Suitors,AT 65 Mrs. Fox's Suitors,N681.Husband (lover) arrives home just as wife (mistress) is to marry another.
"ATU 66A ""Hello House!""","AT 66A ""Hello House!""","K607.1. The cave call. (""Hello, house!"")"
ATU 66B Sham Dead (hidden) Animal Betrays Self,AT 66B Dead Trickster Shows Signs of Life,K607.3. Sham-dead man deceived into making gesture.
ATU 67 Fox in the Swollen River,AT 67 Drowning Fox Pretends to be swimming,J873. Fox in swollen river claims to be swimming to distant town.
ATU 67** The Fox Caught by Butcher,"AT 67** The Fox, the Man, and the Fire",K634.1. Escape by throwing captor's clothes on the fire.
ATU 68 The Jackal Trapped in the Animal Hide,AT 68 Eating an Animal from the Inside,"K1022.1.1. Jackal eating into elephant's dead body
 becomes a prisoner when it dries up"
,,K565.2. Jackal entrapped in elephant's carcass tells passing God to show his magic power by making it rain.
ATU 68A The Jug as Trap,AT 68A Trapped in a Jug,J2131.5.7. Fox trying to drown jug.
ATU 68* Fox Jeers at the Fox Trap,AT 68* Fox Jeers at the Trap,J655.2. Fox jeers at fox-trap
ATU 70 More Cowardly Than the Hare,AT 70 More Cowardly Than the Hare,J881.1. More timid than the hare.
ATU 71 Contest of Frost and the Hare,AT 71 Contest of Frost and the Hare,H1541.1. Contest in enduring cold: frost and the hare
ATU 72 The Rabbit Rides Fox A-Courting,AT 72 The Rabbit Rides Fox A-Courting,K1241. Trickster rides dupe horseback
ATU 72* Hare Emancipates Her Children,AT 72* The Hare Instructs His Sones,J61. Hare instructs his sons to use their eyes to advantage.
ATU 73 Blinding the Guard,AT 73 Blinding the Guard,K621. Escape by blinding the guard.
ATU 75 The Help of the Weak,AT 75 Mouse Rescues the Lion,B371.1. Lion spared mouse: mouse grateful.
ATU 76 The Wolf and the Crane,AT 76 The Wolf and the Crane,W154.3. Crane pulls bone from wolf's throat: wolf refuses payment.
ATU 77 The Stag Admires Himself in a Spring,AT 77 Stag is Captured by His Antlers,L461. Stag scorns his legs but is proud of his horns
ATU 78 Animal Tied to Another for Safety,AT 78 Tied Together In Life and Death,K713.1.2. Animal allows himself to be tied to another for safety.
ATU 78A Tied Up Becase of a Storm,AT 78A Tied Up Against a Storm,"K713.1.1. Animal allows himself to be tied so as
 to avoid being carried off by storm."
"ATU 85 The Mouse, the Bird, and the Sausage","AT 85 Mouse, Bird, and the Sausage","J512.7. Mouse, bird, and sausage keep house together"
ATU 91 The Heart of a Monkey as Medicine,AT 91 Monkey's Heart,K544. Escape by alleged possession of external soul.
ATU 92 The Lion Dives for His Own Reflection,AT 92 Lion in the Water,"K1715.1. Weak animal shows strong his own
 reflection and frightens him."
